word;frequency;cobertura;word_order
eat;0.0012;0.0012;1
miss;0.0011;0.0024;2
play;0.0011;0.0035;3
jump;0.0011;0.0047;4
do;0.0010;0.0057;5
brown;0.0010;0.0067;6
go;0.0010;0.0077;7
cat;0.0009;0.0086;8
over;0.0008;0.0094;9
make;0.0008;0.0102;10
cool;0.0008;0.011;11
birthday;0.0008;0.0118;12
get;0.0008;0.0126;13
come;0.0008;0.0134;14
egg;0.0008;0.0142;15
put;0.0008;0.015;16
bear;0.0008;0.0158;17
ball;0.0008;0.0166;18
want;0.0007;0.0173;19
dog;0.0007;0.018;20
sister;0.0007;0.0186;21
little;0.0007;0.0193;22
that;0.0007;0.02;23
say;0.0007;0.0207;24
outside;0.0007;0.0214;25
see;0.0007;0.022;26
nice;0.0007;0.0227;27
back;0.0007;0.0234;28
frog;0.0007;0.0241;29
give;0.0006;0.0247;30
Dad;0.0006;0.0252;31
love;0.0006;0.0258;32
saw;0.0006;0.0264;33
lot;0.0006;0.0269;34
know;0.0006;0.0275;35
like;0.0006;0.0281;36
rabbit;0.0006;0.0286;37
buy;0.0006;0.0292;38
bunny;0.0005;0.0297;39
friend;0.0005;0.0301;40
take;0.0005;0.0306;41
fun;0.0005;0.031;42
up;0.0005;0.0315;43
out;0.0005;0.0319;44
there;0.0005;0.0324;45
have;0.0005;0.0328;46
because;0.0005;0.0333;47
home;0.0005;0.0337;48
first;0.0003;0.0341;49
sometimes;0.0003;0.0344;50
favorite;0.0003;0.0348;51
her;0.0003;0.0351;52
all;0.0003;0.0355;53
good;0.0003;0.0358;54
pretty;0.0003;0.0361;55
next;0.0003;0.0365;56
ha;0.0002;0.0367;57
best;0.0002;0.0369;58
teacher;0.0002;0.0372;59
so;0.0002;0.0374;60
It;0.0002;0.0376;61
I;0.0002;0.0378;62
bird;0.0002;0.0381;63
Easter;0.0002;0.0383;64
big;0.0002;0.0385;65
Can;0.0002;0.0387;66
one;0.0002;0.039;67
new;0.0001;0.0391;68
my;0.0001;0.0392;69
if;0.0001;0.0393;70
after;0.0001;0.0394;71
then;0.0001;0.0395;72
them;0.0001;0.0397;73
they;0.0001;0.0398;74
too;0.0001;0.0399;75
we;0.0001;0.04;76
and;0.0001;0.0401;77
in;0.0001;0.0402;78
the;0.0001;0.0403;79
family;0.0001;0.0404;80
people;0.0001;0.0406;81
for;0.0001;0.0407;82
water;0.0001;0.0408;83
today;0.0001;0.0409;84
trip;0.0001;0.041;85
very;0.0001;0.0411;86
when;0.0001;0.0412;87
on;0.0001;0.0414;88
an;0.0001;0.0415;89
at;0.0001;0.0416;90
you;0.0001;0.0417;91
time;0.0001;0.0418;92
pool;0.0001;0.0419;93
to;0.0001;0.042;94
me;0.0001;0.0422;95
will;0.0001;0.0423;96
two;0.0001;0.0424;97
a;0.0001;0.0425;98
house;0.0001;0.0426;99
his;0.0001;0.0427;100
last;0.0001;0.0428;101
day;0.0001;0.0429;102
game;0.0001;0.0431;103
some;0.0001;0.0432;104
be;0.0001;0.0433;105
into;0.0001;0.0434;106
this;0.0001;0.0435;107
of;0.0001;0.0436;108
our;0.0001;0.0437;109
really;0.0001;0.0439;110
brother;0.0001;0.044;111
with;0.0001;0.0441;112
he;0.0001;0.0442;113
she;0.0001;0.0443;114
cousin;0.0001;0.0444;115
not;0.0001;0.0445;116
field;0.0001;0.0447;117
book;0.0001;0.0448;118
school;0.0001;0.0449;119
but;0.0001;0.045;120
